model,bins,train_mse,test_mse,test_r2,corr_episode_mse_reward,success_episode_mse,fail_episode_mse,noise_var,offset_norm,residual_rmse
global_affine,1,0.7869372963905334,0.7979363799095154,0.12965648999174018,-0.058253427289511515,0.7610056774208438,0.7796884681021643,0.7879372239112854,276.3332214355469,0.8870948553085327
phase_affine_2,2,0.7355048060417175,0.7627100348472595,0.16807939281627582,-0.08970083645688415,0.6866900006445064,0.7578832804311288,0.7400448769330978,276.3306884765625,0.8418071866035461
phase_affine_3,3,0.7167546153068542,0.7484691739082336,0.18361249782114486,-0.0976605644406069,0.669801681742461,0.7453986330706934,0.7192652821540833,276.33168538411456,0.8282523949941
phase_affine_4,4,0.7102645635604858,0.7414743304252625,0.19124210461592317,-0.09675795943747317,0.6610382744166319,0.7388105689131016,0.712677501142025,276.32881927490234,0.8242106884717941
phase_affine_5,5,0.7055295705795288,0.7385870218276978,0.19439143573411966,-0.09715287658010542,0.6584659624942629,0.7354834647776946,0.7061449587345123,276.3293090820313,0.8198355197906494
phase_affine_8,8,0.6961877346038818,0.7292709946632385,0.20455277185088205,-0.09363471111712884,0.6486091950748374,0.7259325846506175,0.6958570890128613,276.3301773071289,0.8139129504561424
phase_affine_10,10,0.6927362084388733,0.7259516716003418,0.20817332816068723,-0.08468285203212492,0.6468150265709711,0.7227926908007808,0.6915508568286896,276.3291809082031,0.8116889357566833
phase_affine_12,12,0.6905504465103149,0.7255864143371582,0.20857162966719633,-0.08318047991861474,0.6454141010319057,0.7227569144463484,0.6894005959232649,276.32982635498047,0.8105156421661377
phase_affine_16,16,0.6889759302139282,0.7242059707641602,0.2100774549468456,-0.09346327811069305,0.6444481053168752,0.7215928371637778,0.6870199721306562,276.3285884857178,0.8091711141169071
phase_affine_20,20,0.687707781791687,0.7248332500457764,0.20939322118481374,-0.0914515287846273,0.6427574505651499,0.7222555226631036,0.6854888960719109,276.32826080322263,0.8082797408103943
phase_affine_30,30,0.6861915588378906,0.7269368767738342,0.20709880339105624,-0.09094963515972129,0.6471690604027989,0.7245298993860595,0.6836086640755336,276.32924499511716,0.8070334017276763
